,language,title,timestamp,user,action,comment,type,level,expiry,article
73,en,Six-Day War,2009-02-10 09:15:58,Ruslik0,protect,Excessive [[WP:VANDALISM|vandalism]],,,2009-02-17 09:15:00,Six-Day_War
74,en,Six-Day War,2008-05-20 19:33:41,Tiptoety,protect,"IP vandalism [edit=autoconfirmed:move=autoconfirmed] (expires 19:33, 3 June 2008 (UTC))",,,2008-06-03 19:33:00,Six-Day_War
75,en,Six-Day War,2008-03-25 04:30:57,John Reaves,protect,"IP stuff [edit=autoconfirmed:move=autoconfirmed] (expires 04:30, 22 April 2008 (UTC))",,,2008-04-22 04:30:00,Six-Day_War
76,en,Six-Day War,2008-01-29 04:29:57,Anonymous Dissident,unprotect,see my talk page,,,,Six-Day_War
77,en,Six-Day War,2008-01-29 02:16:43,Anonymous Dissident,protect,"war; sort it out on talk [edit=sysop:move=sysop] (expires 02:16, 1 February 2008 (UTC))",,,2008-02-01 02:16:00,Six-Day_War
78,en,Six-Day War,2007-06-27 17:57:39,Tariqabjotu,unprotect,protected for more than a month,,,,Six-Day_War
79,en,Six-Day War,2007-05-22 00:14:54,JoshuaZ,protect,repeated edit warring [edit=sysop:move=sysop],,,,Six-Day_War
80,en,Six-Day War,2007-02-08 06:01:59,SlimVirgin,unprotect,,,,,Six-Day_War
81,en,Six-Day War,2007-01-09 09:38:23,SlimVirgin,protect,vandalism [edit=autoconfirmed:move=autoconfirmed],,,,Six-Day_War
82,de,Sechstagekrieg,2009-03-30 09:24:03,Ra'ike,protect,Wiederkehrender [[Wikipedia:Vandalismus|Vandalismus]],,,2009-04-06 09:24:00,Six-Day_War
83,en,Yom Kippur War,2016-04-07 06:03:11,MusikAnimal,modify,"[[WP:ARBPIA]]; using new extended confirmed protection level, previously enforced by [[Special:AbuseFilter/698]]","['edit', 'move']","['extendedconfirmed', 'extendedconfirmed']",2029-12-31 23:59:59,Yom_Kippur_War
84,en,Yom Kippur War,2015-03-17 12:28:17,EdJohnston,protect,IPs changing the article without waiting for consensus on Talk. This article is subject to [[WP:ARBPIA]],,,2029-12-31 23:59:59,Yom_Kippur_War
85,en,Yom Kippur War,2015-01-13 04:34:48,EdJohnston,modify,[[WP:PP#Content disputes|Edit warring / content dispute]]: Per a complaint at [[WP:AN3]]. See my note on the talk page,,,2015-03-13 04:34:00,Yom_Kippur_War
86,en,Yom Kippur War,2010-11-09 07:02:03,Raul654,modify,,,,2029-12-31 23:59:59,Yom_Kippur_War
87,en,Yom Kippur War,2010-11-09 06:23:15,Raul654,protect,In use,,,2029-12-31 23:59:59,Yom_Kippur_War
88,en,Yom Kippur War,2010-06-20 03:52:24,Mifter,unprotect,Configure for [[Wikipedia:Pending changes]] trial,,,,Yom_Kippur_War
89,en,Yom Kippur War,2009-01-20 23:19:00,Raul654,protect,,,,2029-12-31 23:59:59,Yom_Kippur_War
90,en,Yom Kippur War,2009-01-15 18:05:26,Cenarium,unprotect,"semi-protected for a long time, hopefully no longer necessary",,,,Yom_Kippur_War
91,en,Yom Kippur War,2008-10-04 20:58:18,Raul654,modify,,,,2029-12-31 23:59:59,Yom_Kippur_War
92,en,Yom Kippur War,2008-10-04 20:35:11,Raul654,modify,,,,2029-12-31 23:59:59,Yom_Kippur_War
93,en,Yom Kippur War,2008-07-30 05:36:14,Raul654,protect,[edit=autoconfirmed:move=autoconfirmed],,,,Yom_Kippur_War
94,en,Yom Kippur War,2008-07-21 15:48:32,MZMcBride,unprotect,this is a wiki,,,,Yom_Kippur_War
95,en,Yom Kippur War,2008-07-18 16:13:39,Raul654,protect,[edit=sysop:move=sysop],,,,Yom_Kippur_War
