,language,title,timestamp,user,action,comment,type,level,expiry,article
77,ru,Киевская Русь,2012-03-12 05:02:28,Vladimir Solovjev,protect,частый [[ВП:В|вандализм]],,,2012-04-12 05:02:00,Kievan_Rus'
78,ru,Киевская Русь,2011-01-24 19:35:22,Alex Smotrov,protect,частый [[ВП:В|вандализм]],,,2011-01-31 19:35:00,Kievan_Rus'
79,ru,Киевская Русь,2008-12-11 16:10:19,Victoria,protect,активная [[ВП:Война правок|война правок]],,,2008-12-25 16:10:00,Kievan_Rus'
80,ru,Киевская Русь,2008-12-03 21:22:16,Victoria,protect,активная [[ВП:Война правок|война правок]],,,2008-12-10 21:22:00,Kievan_Rus'
81,en,Stepan Bandera,2020-08-31 01:24:28,MelanieN,protect,Persistent addition of [[WP:INTREF|unsourced or poorly sourced content]]. Long history of increasing semi-protection.,['edit'],['autoconfirmed'],2029-12-31 23:59:59,Stepan_Bandera
82,en,Stepan Bandera,2018-11-06 15:36:25,EdJohnston,protect,Persistent [[WP:Disruptive editing|disruptive editing]],"['edit', 'move']","['autoconfirmed', 'autoconfirmed']",2019-11-06 15:36:00,Stepan_Bandera
83,en,Stepan Bandera,2016-11-03 14:51:09,Ymblanter,modify,"Persistent [[WP:Disruptive editing|disruptive editing]]: was 3 months last time, going for 6 months now","['edit', 'move']","['autoconfirmed', 'autoconfirmed']",2017-05-03 14:51:00,Stepan_Bandera
84,en,Stepan Bandera,2016-11-03 14:39:10,Ymblanter,protect,"Persistent [[WP:Sock puppetry|sock puppetry]]: + POV, borderline vandalism. The user just does not know how to stop","['edit', 'move']","['autoconfirmed', 'autoconfirmed']",2016-11-06 14:39:00,Stepan_Bandera
85,en,Stepan Bandera,2015-01-10 03:42:40,EdJohnston,protect,"IP edit warring, per a complaint at [[WP:AN3]]. This article falls under [[WP:ARBEE]]",,,2015-04-10 03:42:00,Stepan_Bandera
86,en,Stepan Bandera,2013-06-01 21:38:24,EdJohnston,protect,[[WP:PP#Content disputes|Edit warring / Content dispute]]: IPs reverting with no discussion on Talk,,,2013-08-01 21:38:00,Stepan_Bandera
87,de,Stepan Bandera,2022-07-11 06:20:42,Gardini,protect,[[WP:WAR|Edit-War]]: bitte zur Klärung die Diskussionsseite aufsuchen,"['edit', 'move']","['sysop', 'sysop']",2022-07-12 06:20:00,Stepan_Bandera
88,uk,Бандера Степан Андрійович,2015-03-06 03:18:36,NickK,modify,війна редагувань/неузгоджені зміни,,,2029-12-31 23:59:59,Stepan_Bandera
89,uk,Бандера Степан Андрійович,2015-03-01 01:53:13,AS,move_prot,«[[Користувач:Нацык-нацык-нацык-ууууу]]» перейменована на «[[Бандера Степан Андрійович]]»,,,,Stepan_Bandera
90,uk,Бандера Степан Андрійович,2009-07-18 11:05:45,Yakiv Gluck,move_prot,«[[Степан Андрійович Бандера]]» перейменована на «[[Бандера Степан Андрійович]]»: ну все ж має бути як в інших статтях,,,,Stepan_Bandera
